"","PRECINCT","freq"
"1",1,18
"2",5,44
"3",6,23
"4",7,75
"5",9,83
"6",10,54
"7",13,46
"8",14,27
"9",17,6
"10",18,24
"11",19,9
"12",20,26
"13",23,375
"14",24,77
"15",25,342
"16",26,119
"17",28,256
"18",30,180
"19",32,483
"20",33,182
"21",34,198
"22",40,692
"23",41,391
"24",42,664
"25",43,618
"26",44,780
"27",45,138
"28",46,729
"29",47,758
"30",48,579
"31",49,269
"32",50,117
"33",52,460
"34",60,303
"35",61,124
"36",62,56
"37",63,235
"38",66,38
"39",67,1027
"40",68,25
"41",69,360
"42",70,380
"43",71,484
"44",72,77
"45",73,1165
"46",75,1231
"47",76,128
"48",77,639
"49",78,45
"50",79,841
"51",81,675
"52",83,425
"53",84,94
"54",88,239
"55",90,260
"56",94,62
"57",100,128
"58",101,383
"59",102,160
"60",103,473
"61",104,78
"62",105,379
"63",106,178
"64",107,75
"65",108,44
"66",109,91
"67",110,119
"68",111,5
"69",112,19
"70",113,674
"71",114,289
"72",115,130
"73",120,490
"74",121,76
"75",122,54
"76",123,26
